SQL> 
SQL> 
SQL> SELECT a.ksppinm AS parameter,
  2      a.ksppdesc AS description,
  3      b.ksppstvl AS session_value,
  4      c.ksppstvl AS instance_value
  5  FROM   x$ksppi a,
  6      x$ksppcv b,
  7      x$ksppsv c
  8  WHERE  a.indx = b.indx
  9  AND    a.indx = c.indx
 10  AND    a.ksppinm LIKE '/_%' ESCAPE '/'
 11  ORDER BY a.ksppinm;

PARAMETER                                                    DESCRIPTION                                                                                          SESSION_VALUE        INSTANCE_VALUE                                                                                                       
------------------------------------------------------------ ---------------------------------------------------------------------------------------------------- -------------------- --------------------                                                                                                 
_4030_dump_bitvec                                            bitvec to specify dumps prior to 4030 error                                                          4095                 4095                                                                                                                 
_4031_dump_bitvec                                            bitvec to specify dumps prior to 4031 error                                                          67194879             67194879                                                                                                             
_4031_dump_interval                                          Dump 4031 error once for each n-second interval                                                      300                  300                                                                                                                  
_4031_max_dumps                                              Maximum number of 4031 dumps for this process                                                        100                  100                                                                                                                  
_4031_sga_dump_interval                                      Dump 4031 SGA heapdump error once for each n-second interval                                         3600                 3600                                                                                                                 
_4031_sga_max_dumps                                          Maximum number of SGA heapdumps                                                                      10                   10                                                                                                                   
_AllowMultInsteadofDDLTrigger                                Oracle internal parameter to allow multiple instead of DDL triggers                                  0                    0                                                                                                                    
_EnableDDLTtriggerTracing                                    enable ddl trigger tracing                                                                           FALSE                FALSE                                                                                                                
_EnableShadowTypes                                           enable shadow types                                                                                  FALSE                FALSE                                                                                                                
_ILM_FILTER_TIME                                             Upper filter time for ILM block compression                                                          0                    0                                                                                                                    
_ILM_FILTER_TIME_LOWER                                       Lower filter time for ILM block compression                                                          0                    0                                                                                                                    
_ILM_POLICY_NAME                                             User specified ILM policy name                                                                       FALSE                FALSE                                                                                                                
_NUMA_bind_mode                                              Numa bind mode                                                                                       default              default                                                                                                              
_NUMA_float_spawner                                          float process spawner                                                                                FALSE                FALSE                                                                                                                
_NUMA_instance_mapping                                       Set of nodes that this instance should run on                                                        Not specified        Not specified                                                                                                        
_NUMA_pool_size                                              aggregate size in bytes of NUMA pool                                                                 Not specified        Not specified                                                                                                        
_PX_use_large_pool                                           Use Large Pool as source of PX buffers                                                               FALSE                FALSE                                                                                                                
_REMOVE_INACTIVE_STANDBY_TDE_MASTER_KEY                      Remove Inactive Standby TDE Master Key                                                               FALSE                FALSE                                                                                                                
_REMOVE_STDBY_OLD_KEY_AFTER_CHECKPOINT_SCN                   Remove standby old key after checkpoint SCN                                                          TRUE                 TRUE                                                                                                                 
_STFForceTranslateOracleSQL                                  if TRUE translation profile will translate Oracle SQL statements                                     FALSE                FALSE                                                                                                                
_STFTranslateDynamicSQL                                      if TRUE translation profile will translate dynamic SQL statements                                    FALSE                FALSE                                                                                                                
_VIEW_DICTIONARY_ACCESSIBILITY                               View Dictionary Accessibility Support                                                                FALSE                FALSE                                                                                                                
__asm_max_connected_clients                                  The high water mark value for connected clients                                                      3                    3                                                                                                                    
__data_transfer_cache_size                                   Actual size of data transfer cache                                                                   0                    0                                                                                                                    
__db_16k_cache_xmem_size_metadata                            Size of extended cache metadata for 16k buffer pool                                                  0                    0                                                                                                                    
__db_2k_cache_xmem_size_metadata                             Size of extended cache metadata for 2k buffer pool                                                   0                    0                                                                                                                    
